month,zipcode,avg_response_hours
2024-04,11428,218.07
2024-04,11429,262.92
2024-04,11430,1867.99
2024-04,11432,274.45
2024-04,11433,215.56
2024-04,11434,324.62
2024-04,11435,186.12
2024-04,11436,285.74
2024-04,11691,271.82
2024-04,11692,312.44
2024-04,11693,284.63
2024-04,11694,437.45
2024-04,11697,217.95
2024-04,11703,735.92
2024-04,11709,794.29
2024-04,11726,27.05
2024-04,11791,99.39
2024-04,11801,794.54
2024-04,12345,0.0
2024-04,14221,735.39
2024-04,17110,741.46
2024-04,19034,745.4
2024-04,55343,763.87
2024-04,55439,410.73
2024-04,76096,237.14
2024-04,92108,783.05
2024-04,95128,21.22
2024-04,ALL,402.94
2024-04,NA,91.53
2024-05,08332,745.04
2024-05,10000,551.8
2024-05,10001,509.22
2024-05,10002,305.26
2024-05,10003,609.34
2024-05,10004,134.4
2024-05,10005,222.8
2024-05,10006,215.46
2024-05,10007,239.2
2024-05,10009,421.89
2024-05,10010,496.21
2024-05,10011,493.69
2024-05,10012,515.76
2024-05,10013,316.65
2024-05,10014,355.03
2024-05,10016,490.13
2024-05,10017,498.97
2024-05,10018,428.82
2024-05,10019,526.95
2024-05,10020,1698.23
2024-05,10021,819.12
2024-05,10022,540.73
2024-05,10023,649.17
2024-05,10024,573.41
2024-05,10025,632.48
2024-05,10026,323.74
2024-05,10027,488.18
2024-05,10028,708.25
2024-05,10029,274.61
2024-05,10030,565.18
2024-05,10031,471.55
2024-05,10032,279.86
2024-05,10033,257.95
2024-05,10034,190.74
2024-05,10035,239.43
2024-05,10036,482.8
2024-05,10037,233.83
2024-05,10038,416.55
2024-05,10039,342.43
2024-05,10040,224.13
2024-05,10041,283.11
2024-05,10044,274.25
2024-05,10045,-1.18
2024-05,10048,716.35
2024-05,10055,0.0
2024-05,10065,587.79
2024-05,10069,128.35
2024-05,10075,519.45
2024-05,10103,2358.06
2024-05,10105,701.14
2024-05,10106,141.57
2024-05,10110,-2.35
2024-05,10111,514.43
2024-05,10112,1176.76
2024-05,10115,0.48
2024-05,10118,9.8
2024-05,10119,1076.09
2024-05,10120,199.91
2024-05,10121,1002.64
2024-05,10122,742.06
2024-05,10123,519.37
2024-05,10128,481.48
2024-05,10151,3857.77
2024-05,10152,1.59
2024-05,10153,5099.65
2024-05,10154,20.86
2024-05,10158,-1.16
2024-05,10162,1065.93
2024-05,10165,3645.2
2024-05,10167,2.94
2024-05,10168,53.27
2024-05,10169,29.28
2024-05,10170,46.01
2024-05,10172,2451.4
2024-05,10173,4389.45
2024-05,10174,-5.72
2024-05,10175,912.59
2024-05,10271,-2.01
2024-05,10278,0.58
2024-05,10279,-0.47
2024-05,10280,204.31
2024-05,10281,643.54
2024-05,10282,174.05
2024-05,10301,298.7
2024-05,10302,331.13
2024-05,10303,279.74
2024-05,10304,401.08
2024-05,10305,340.39
2024-05,10306,676.2
2024-05,10307,541.47
2024-05,10308,638.57
2024-05,10309,361.24
2024-05,10310,465.99
2024-05,10312,494.58
2024-05,10314,497.68
2024-05,10451,456.25
2024-05,10452,213.08
2024-05,10453,195.29
2024-05,10454,232.27
2024-05,10455,336.85
2024-05,10456,164.26
2024-05,10457,185.13
2024-05,10458,234.82
2024-05,10459,267.32
2024-05,10460,215.25
2024-05,10461,259.87
2024-05,10462,227.88
2024-05,10463,226.16
2024-05,10464,238.95
2024-05,10465,252.57
2024-05,10466,201.2
2024-05,10467,204.39
2024-05,10468,175.88
2024-05,10469,266.64
2024-05,10470,116.58
2024-05,10471,280.67
2024-05,10472,233.23
2024-05,10473,204.96
2024-05,10474,239.87
2024-05,10475,228.35
2024-05,11001,628.88
2024-05,11003,28.6
2024-05,11004,1003.74
2024-05,11005,296.89
2024-05,11040,845.47
2024-05,11101,295.28
2024-05,11102,437.45
2024-05,11103,605.84
2024-05,11104,421.62
2024-05,11105,447.43
2024-05,11106,288.85
2024-05,11109,175.4
2024-05,11201,510.75
2024-05,11203,486.85
2024-05,11204,413.32
2024-05,11205,261.81
2024-05,11206,442.78
2024-05,11207,357.95
2024-05,11208,250.85
2024-05,11209,427.77
2024-05,11210,459.8
2024-05,11211,486.01
2024-05,11212,433.15
2024-05,11213,358.63
2024-05,11214,683.18
2024-05,11215,460.3
2024-05,11216,572.18
2024-05,11217,389.04
2024-05,11218,450.29
2024-05,11219,420.77
2024-05,11220,350.1
